"roomId","00:23:69:5a:d7:7a","00:80:48:79:cc:79","00:80:48:7a:2d:45","00:80:48:7a:2d:44","00:80:48:79:cc:70","00:80:48:7a:2d:1a","00:80:48:79:cc:73","00:80:48:79:cc:7b","00:80:48:79:cc:71","00:80:48:79:cc:7c","00:80:48:79:cc:77","00:80:48:79:cc:78","00:80:48:79:cc:72","00:80:48:7a:2d:42","00:80:48:7a:2d:3e","00:80:48:7a:2d:1e","00:80:48:79:cc:5c","00:80:48:7a:2d:46","e8:de:27:90:b2:ea","00:80:48:79:cc:7f","00:80:48:79:cc:62","00:80:48:79:cc:5d","00:80:48:79:cc:8b","00:80:48:79:cc:7a","00:80:48:79:cc:65","00:80:48:79:cc:5f"
"UZXNVZzTvfMjI13w6bnV",-71,-76,-76,-87,-88,-91,,,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-76,-76,,,-91,,,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-67,-72,,,,,,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-68,-73,-72,,,,-82,-86,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-68,-73,-72,,-88,,-82,-86,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-68,-71,-72,,-88,,-86,-86,,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-72,-71,-71,,-88,,-82,-86,-91,-93,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-67,-64,-71,,-89,,-82,,-91,-93,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-68,-64,-71,,-88,,-88,,-91,-93,-86,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-76,-64,-71,,-88,,-88,,-91,-93,-86,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-83,-64,-79,,-89,,-80,,,,-86,-88,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-83,-69,-79,,-89,,-80,,,,-86,-88,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-83,-65,-79,,-89,,-80,,,,-86,-88,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-83,-65,-79,,-89,,-80,,,,-85,-88,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-65,,-86,,,-84,,,,-85,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-65,,-86,,,-84,,,,-85,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,,,-86,,,-84,,,,-85,-82,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-83,-73,-79,-86,,,-84,,,,,-85,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-79,-73,-79,,-88,,-89,,,,-86,-85,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-79,-69,-79,,-88,,-89,,,,-86,-85,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-79,-65,-79,,-88,,-89,,,,-85,-85,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-79,-65,,,-88,,-89,,,,-85,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-79,-65,,,-88,,-85,,,,-85,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-75,-65,-74,,-88,,-81,,,,-84,-93,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-75,-75,-74,,-88,,-81,,,,-84,-93,-91,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-75,-75,-74,,,,-81,,,,-84,-93,-91,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-75,-74,-74,,-90,,-81,,,,-85,-87,-91,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-75,-67,,,-90,,,,,,-85,-87,-91,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-63,,,-90,,,,,,-85,-87,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-82,-65,,,-90,,,,,,-85,-87,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-78,-74,,,,,,,-88,,-85,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-78,-74,,,,,,,-88,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-78,-74,,,,,-82,,-88,,,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-78,-70,,,-85,,-82,,-88,,,-89,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-91,-72,,,-85,,-82,,,,,-89,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-80,-72,-73,,-85,,-82,,,,,-89,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-80,-66,-73,,-85,,-82,,,,-91,-89,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-80,-71,-73,,,,-82,,,,-91,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",-80,-72,-73,,,,-82,,,,-87,,,,,,,,,,,,,,,
"UZXNVZzTvfMjI13w6bnV",,-72,,,,,-84,,,,-87,-87,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-74,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-75,,,,,,,,,,-74,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-75,,,,,,,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-85,,,,,,,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,,,-90,,,,-80,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,,,-90,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-80,,,,,,,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-77,,,,,,,,,,-68,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-77,,,,,,,,,,-76,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-71,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-74,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,-83,,,,-71,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,-83,,,,-71,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-69,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-83,,,,,,-86,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-79,,,,,,-86,,,,-65,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-79,,,,,,,,,,-65,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-74,,,,,,,,,,-66,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-74,,,,,,,,,,-68,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-75,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-75,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-74,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-74,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-78,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-78,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-85,,,,,,,,,,-75,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,-83,,,,-75,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,-83,,,,-75,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,,,,,-78,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-84,,,,,,-81,,,,-81,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-76,,,,,,-81,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,,,,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,,,,,,,-72,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-73,,-77,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-69,,-77,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-69,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-77,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,,,,,,,,,,,-77,,,,,,,,,,,,,,
"2FqdirQC8Imj7AYnLPF6",,-81,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-79,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-83,,,,,,,,,,-94,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,-94,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,-94,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,-94,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-76,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,-88,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-85,,,-88,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-88,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-88,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-93,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-93,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-93,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-90,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-90,,,,,,-95,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-90,,,,,,-95,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,-90,,,,,,-95,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,-95,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-92,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-92,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-92,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,-92,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,-95,,,,,,-95,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,-95,,,,,,-95,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,-95,,,,,,-95,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,-95,,,,,,-95,,,,,,,,,,,,,,
"coJEZuX2z78MFtLrr4vi",,,,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-82,-81,,,,,,,,,-87,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-82,-81,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-82,-81,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-82,-81,,-87,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,,,,-87,,,,,,,-92,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,,,,-87,,,,,,,-92,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,,,,-87,,,,,,,-92,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,,,,,,,,,,,-92,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,,,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-89,,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-89,,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-89,,,,,,,,,,,,,,,,,,,,,,,,
"y1tO6kZ5cPGflCGLo5sJ",,-89,,,,,,,,,,,,,,,,,,,,,,,,
